,word,count,cum_freq,cum_perc,percentile,length,volume
462,staff,7505,19995099,64.4414032822,70,5,>1K
463,employees,7473,20002572,64.4654877144,70,9,>1K
464,special,7463,20010035,64.4895399181,70,7,>1K
465,person,7462,20017497,64.5135888988,70,6,>1K
466,summer,7425,20024922,64.5375186338,70,6,>1K
467,workers,7413,20032335,64.5614096944,70,7,>1K
468,instead,7411,20039746,64.5852943093,70,7,>1K
469,course,7410,20047156,64.6091757014,70,6,>1K
470,whose,7385,20054541,64.6329765219,70,5,>1K
471,death,7348,20061889,64.6566580967,70,5,>1K
472,friends,7346,20069235,64.6803332257,70,7,>1K
473,future,7339,20076574,64.7039857947,70,6,>1K
474,known,7317,20083891,64.7275674607,70,5,>1K
475,seen,7313,20091204,64.7511362354,70,4,>1K
476,united,7307,20098511,64.7746856729,70,6,>1K
477,worked,7304,20105815,64.7982254418,70,6,>1K
478,meeting,7284,20113099,64.8217007535,70,7,>1K
479,black,7273,20120372,64.8451406137,70,5,>1K
480,available,7232,20127604,64.8684483367,70,9,>1K
481,eight,7226,20134830,64.8917367225,70,5,>1K
482,given,7223,20142053,64.9150154398,70,5,>1K
483,reported,7219,20149272,64.9382812656,70,8,>1K
484,manager,7216,20156488,64.9615374228,70,7,>1K
485,parents,7213,20163701,64.9847839114,70,7,>1K
486,anything,7205,20170906,65.0080046172,70,8,>1K
487,gave,7141,20178047,65.0310190599,70,4,>1K
488,couple,7132,20185179,65.0540044969,70,6,>1K
489,ball,7102,20192281,65.0768932481,70,4,>1K
490,defense,7094,20199375,65.0997562164,70,7,>1K
491,woman,7085,20206460,65.122590179,70,5,>1K
492,red,7084,20213544,65.1454209187,70,3,>1K
493,using,7083,20220627,65.1682484356,70,5,>1K
494,america,7040,20227667,65.1909373695,70,7,>1K
495,economy,7039,20234706,65.2136230805,70,7,>1K
496,someone,7038,20241744,65.2363055686,70,7,>1K
497,brown,7031,20248775,65.2589654968,70,5,>1K
498,front,7029,20255804,65.2816189792,70,5,>1K
499,senior,7015,20262819,65.3042273416,70,6,>1K
500,process,6998,20269817,65.3267809153,70,7,>1K
501,face,6988,20276805,65.3493022605,70,4,>1K
502,taken,6988,20283793,65.3718236057,70,5,>1K
503,list,6963,20290756,65.3942643793,70,4,>1K
504,wife,6959,20297715,65.4166922615,70,4,>1K
505,everything,6950,20304665,65.439091138,70,10,>1K
506,statement,6918,20311583,65.461386883,70,9,>1K
507,re,6891,20318474,65.4835956107,70,2,>1K
508,recently,6886,20325360,65.5057882242,70,8,>1K
509,continue,6884,20332244,65.5279743919,70,8,>1K
510,return,6872,20339116,65.5501218853,70,6,>1K
511,judge,6855,20345971,65.5722145901,70,5,>1K
512,race,6850,20352821,65.5942911806,70,4,>1K
513,goal,6834,20359655,65.6163162054,70,4,>1K
514,economic,6834,20366489,65.6383412301,70,8,>1K
515,romney,6803,20373292,65.6602663462,70,6,>1K
516,mayor,6775,20380067,65.6821012222,70,5,>1K
517,saw,6762,20386829,65.703894201,70,3,>1K
518,child,6751,20393580,65.7256517283,70,5,>1K
519,chance,6740,20400320,65.7473738042,70,6,>1K
520,agency,6736,20407056,65.7690829887,70,6,>1K
521,needs,6734,20413790,65.7907857274,70,5,>1K
522,david,6719,20420509,65.8124401233,70,5,>1K
523,bring,6716,20427225,65.8340848506,70,5,>1K
524,residents,6716,20433941,65.8557295778,70,9,>1K
525,vote,6707,20440648,65.8773452993,70,4,>1K
526,based,6686,20447334,65.8988933408,70,5,>1K
527,club,6684,20454018,65.9204349365,70,4,>1K
528,forward,6675,20460693,65.9419475266,70,7,>1K
